Name,CountryCode,Population
Changshu,CHN,181805
Changzhi,CHN,317144
Changzhou,CHN,530000
Chaozhou,CHN,313469
ChapecÃ³,BRA,144158
Chapra,IND,136877
Charleroi,BEL,200827
Chatsworth,ZAF,189885
Chelmsford,GBR,97451
Cheltenham,GBR,106000
Chengde,CHN,246799
Chengdu,CHN,3361500
Chennai (Madras),IND,3841396
Chenzhou,CHN,169400
Chhindwara,IND,93731
Chiayi,TWN,265109
Chiba,JPN,863930
Chifeng,CHN,350077
Chihuahua,MEX,670208
Chimoio,MOZ,171056
Chinhae,KOR,125997
Chishtian Mandi,PAK,101700
Chittagong,BGD,1392860
Chittoor,IND,133462
Chofu,JPN,201585
Chong-up,KOR,139111
Chongqing,CHN,6351600
Chonju,KOR,563153
ChorzÃ³w,POL,121708
Chungli,TWN,318649
ChÃ¤rjew,TKM,189200
Cibinong,IDN,101300
Ciego de Ãvila,CUB,98505
Cilacap,IDN,206900
Cilegon,IDN,117000
Cimahi,IDN,344600
Cimanggis,IDN,205100
Ciomas,IDN,187400
Ciparay,IDN,111500
Ciputat,IDN,270800
Citeureup,IDN,105100
Ciudad de Guatemala,GTM,823301
Cixi,CHN,107329
Cluj-Napoca,ROM,332498
Coatzacoalcos,MEX,267037
Cochabamba,BOL,482800
Cochin (Kochi),IND,564589
Cockburn Town,TCA,4800
CodÃ³,BRA,103153
Coimbatore,IND,816321
Colatina,BRA,107354
Colombo,LKA,645000
Colorado Springs,USA,360890
Columbia,USA,116278
Columbus,USA,186291
Conakry,GIN,1090610
Concepcion,PHL,115171
ConcepciÃ³n,CHL,217664
Concord,USA,121780
Concordia,ARG,116485
Conselheiro Lafaiete,BRA,97507
Constantine,DZA,443727
Contagem,BRA,520801
CopiapÃ³,CHL,120128
Coquitlam,CAN,101820
CorumbÃ¡,BRA,90111
Cosoleacaque,MEX,97199
Cotabato,PHL,163849
Cotia,BRA,140042
Cotonou,BEN,536827
Coventry,GBR,304000
Crawley,GBR,97000
CriciÃºma,BRA,167661
CuautitlÃ¡n Izcalli,MEX,452976
Cuautla,MEX,153132
CubatÃ£o,BRA,102372
Cuddalore,IND,153086
Cuddapah,IND,121463
Cuenca,ECU,270353
CuiabÃ¡,BRA,453813
CuliacÃ¡n,MEX,744859
CuricÃ³,CHL,115766
Curitiba,BRA,1584232
CÃ³rdoba,ARG,1157507
CÃºcuta,COL,606932
Dagupan,PHL,130328
Daito,JPN,130594
Dali,CHN,136554
Dalian,CHN,2697000
Damanhur,EGY,212203
Daqing,CHN,660000
Daraga (Locsin),PHL,101031
Darbhanga,IND,218391
DasmariÃ±as,PHL,379520
Davao,PHL,1147116
DaÂ´an,CHN,138963
Dehra Dun,IND,270159
Delft,NLD,95268
Delhi Cantonment,IND,94326
Delicias,MEX,116132
Delmas,HTI,240429
Delta,CAN,95411
Denpasar,IDN,435000
Depok,IDN,365200
Dera Ghazi Khan,PAK,188100
Derbent,RUS,92300
Dese,ETH,97314
Deyang,CHN,182488
Dezful,IRN,202639
Dezhou,CHN,195485
Dhule (Dhulia),IND,278317
Diadema,BRA,335078
Dibrugarh,IND,120127
Digos,PHL,125171
Dinajpur,BGD,127815
Dindigul,IND,182477
Dipolog,PHL,99862
Dire Dawa,ETH,164851
Disuq,EGY,91300
DivinÃ³polis,BRA,185047
Djibouti,DJI,383000
Dniprodzerzynsk,UKR,270000
Dobric,BGR,100399
Dongtai,CHN,192247
Dongwan,CHN,308669
Dongying,CHN,281728
Donostia-San SebastiÃ¡n,ESP,179208
Dordrecht,NLD,119811
Dos Hermanas,ESP,94591
Dos Quebradas,COL,159363
Douala,CMR,1448300
Douglas,GBR,23487
Dourados,BRA,164716
Dubai,ARE,669181
Dublin,IRL,481854
Dudley,GBR,192171
Dujiangyan,CHN,123357
Dumaguete,PHL,102265
Dundee,GBR,146690
Dunedin,NZL,119600
Duque de Caxias,BRA,746758
Durban,ZAF,566120
Durg,IND,150645
Durgapur,IND,425836
Duyun,CHN,132971
DÃ¼ren,DEU,91092
East London,ZAF,221047
East York,CAN,114034
Eastbourne,GBR,90000
Ebetsu,JPN,118805
Ebina,JPN,115571
Ecatepec de Morelos,MEX,1620303
Ech-Chleff (el-Asnam),DZA,96794
Ede,NLD,101574
